Column_1,Column_2,Column_3,Column_4,Column_5,Column_6
671.,PT BIKA PARAMA CIPTA,"Jl M Toha No 4, Pondok Cabe Udik, Pamulang, Kota Tangerang Selatan, Banten",Telp. 021-7491524,,31001
672.,PT Bilca Markin Jaya Makmur,"Jl. Raya Pasar Kemis KM 6, Sukamantri, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. 021-2966 4825,,17099
673.,PT Bilca Markin Jaya Makmur,"Jalan Raya Pasar Kemis Km.06 RT.004/RW.03 No. 02, Sukamantri, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. -,,17022
674.,PT Bilquis Jaya Perkasa,"Jl. Amd 44 RT. 002 / RW. 010, Karang Sari, Neglasari, Kota Tangerang, Banten",Telp. 081********,,20123
675.,PT Bima Royal Teknindo,"JL. MILLENIUM 16B BLOK K3 NO. 1, PEUSAR, PANONGAN, Kabupaten Tangerang, Banten",Telp. 021 59981900,,27900
676.,PT Bima Sakti Jaya Mandiri,"Komplek Pergudangan Bizpoint, Point I, Jl. Istambul No.3, Cikupa Tagerang, Sukamulya, Cikupa, Kabupaten Tangerang, Banten",Telp. 021-59641413,,27120
677.,CV Bimantara Coverall Industri,"JALAN GREEN LAKE CITY BOULEVARD RUKAN CROWN L-27, Petir, Cipondoh, Kota Tangerang, Banten",Telp. 081********,,32904
678.,PT Bina Adidaya,"Jl. Industri Raya IV blok AF no.23 Kawasan industri Jatake Tangerang, Bunder, Cikupa, Kabupaten Tangerang, Banten",Telp. 021-5902347,,20221
679.,PT Bina Baratha Manggala,"Jl. Raya Cikande Rangkas Bitung KM.4.5, Kareo, Jawilan, Kabupaten Serang, Banten",Telp. 087*********,,
680.,PT Bina Citra Agro Farma,"TAMAN TEKNO BSD CITY SEKTOR XI BLOK H6/7, Setu, Setu, Kota Tangerang Selatan, Banten",Telp. 02129666083,,21024
681.,PT Bina Inplasco,"Jl. Arya Kemuning Kp. Pengasinan No. 12, Sangiang Jaya, Periuk, Kota Tangerang, Banten",Telp. 021-5515555,,22291
682.,PT Bina Karya Kusuma,"JL.SUKA KARYA NO.12 RT.001/002, SERUA INDAH, CIPUTAT, Kota Tangerang Selatan, Banten",Telp. 02174634117,,20118
683.,CV Bina Makmur Sehati,"Kp.serdang RT 006 / RW 0.2, Ds.Mekar Jaya, Mekar Jaya, Panongan, Kabupaten Tangerang, Banten",Telp. 081*******,,10422
684.,PT Bina Relasi Plastindo,"Pergudangan Sentra Kosambi Blok D2/20, Kosambi Timur, Kosambi, Kota Tangerang, Banten",Telp. 02129030335,,20131
685.,PT Bina Usaha Citra Mandiri,"Pergudangan Sentra Kosambi Blok D1 No. 21, Kosambi Timur, Kosambi, Kabupaten Tangerang, Banten",Telp. 081*********,,20118
686.,PT BINA USAHA MANDIRI MIZUSAWA,"JL. KH.EZ MUTTAQIN KP DOYONG. JATIUWUNG KOTA TANGERANG, Alam Jaya, Jatiuwung, Kota Tangerang, Banten",Telp. 021-5902488,,24310
687.,PT Bina Usaha Sejahtera,"Kp. Sinangpalai, Cisauk, Cisauk, Kabupaten Tangerang, Banten",Telp. 02173887831,,14111
688.,CV Binangun Agro Lestari,"JALAN BUMI MAS BLOK A NOMOR 25 KAWASAN PERGUDANGAN KARAWACI RT 001 RW 001,, BINONG, CURUG, Kabupaten Tangerang, Banten",Telp. 02155663174,,20212
689.,PT Binesqo Mulyatama Sejahtera,"Jl. Eropa I Kav I - 2/4 Kawasan Industri Estate Cilegon, Warnasari, Citangkil, Kota Cilegon, Banten",Telp. 0254 393315,,41013
690.,PT Bintang Auto Semesta,"Jl. Gatot Subroto RT.001 RW.002, Cimone, Karawaci, Kota Tangerang, Banten",Telp. (021) 55665522,,45201
691.,CV Bintang Baros Bengkel,"Jl. Serang Pandeglang Km. 13, Sukamanah, Baros, Kabupaten Serang, Banten",Telp. 082*********,,29200
692.,PT Bintang Baru Indonesia,"JL. TELESONIK NO. 01 KM. 08 JATAKE JATIUWUNG TANGERANG BANTEN, JATAKE, JATIUWUNG, Kota Tangerang, Banten",Telp. 021-5906677,,14111
693.,PT Bintang Beton Selatan,"Jl. Raya Malingping - Bayah KM 12 Pertigaan Cibunar Kp. Cikanyere, Ciparahu, Cihara, Kabupaten Lebak, Banten",Telp. -,,23957
694.,PT Bintang Cahaya Plastik,"Pergudangan Mutiara Kosambi 1 blok A7 No. 5, Kosambi Timur, Kosambi, Kota Tangerang, Banten",Telp. 02122554359,,22220
695.,PT Bintang Cakra Kreatif,"KOMPLEK PERGUDANGAN PANTAI INDAH DADAP,BLOK G3, Dadap, Kosambi, Kabupaten Tangerang, Banten",Telp. 081*********,,22299
696.,PT Bintang Cemerlang Sempurna,"jl Raya Diklat Pemda No.168, Sukabakti, Curug, Kabupaten Tangerang, Banten",Telp. 085*********,,30921
697.,PT Bintang Fadelindo Utama,"Jl. Raya Cukanggalih No.145, Cukanggalih, Curug, Kabupaten Tangerang, Banten",Telp. 021-59497788,,33122
698.,PT Bintang Indonesia,"Jl. Millenium Raya Blok F3 No.1, Peusar, Panongan, Kabupaten Tangerang, Banten",Telp. 29017191,,15201
699.,PT Bintang Kanguru,"JL. PEMBANGUNAN NO 8, SEWAN, RAWA KUCING, Mekarsari, Neglasari, Kota Tangerang, Banten",Telp. 021-5517829/5517830,,14111
700.,PT Bintang Karya Partikel,"Jln. KH EZ Muttaqien No 40 RT004/002, Gembor, Periuk, Kota Tangerang, Banten",Telp. 02159308123,,16212
701.,PT Bintang Kecil Indonesia,"Pergudangan Bandara Benda Permai Blok F-31 Lantai 1, Jalan Perancis Nomor 62, Benda, Benda, Kota Tangerang, Banten",Telp. 081*********,,26490
702.,PT Bintang Kelindo Cemerlang,"KAWASAN INDUSTRI MEKAR JAYA ( JL  RAYA MAUK KM7 ) JL KARET II NO 7, MEKAR JAYA, SEPATAN, Kota Tangerang, Banten",Telp. 021-22259316,,32402
703.,PT Bintang Kupu-kupu,"Jl Gatot Subroto KM 5,5, Keroncong, Jatiuwung, Kota Tangerang, Banten",Telp. 0215903305,,21022
704.,KO Bintang Laut Barat,"PO.Box 6, Jl. Pulorida, Merak, Suralaya, Kec. Pulomerak, Kota Cilegon, Banten 42431, Suralaya, Pulomerak, Kota Cilegon, Banten",Telp. 087*********,,
705.,PT Bintang Lestari Sejahtera,"Jl. Telaga Mas IV no 5, Talaga, Cikupa, Kabupaten Tangerang, Banten",Telp. 0215961757,,28291
706.,CV Bintang Makmur,"Wisma Harapan Blok A-5 no 1, Gembor, Priuk, Kota Tangerang, Banten",Telp. 5925836,,10740
707.,CV Bintang Mas,"JL. MAULANA YUSUF NO.11, CITANGKIL, CITANGKIL, Kota Cilegon, Banten",Telp. 081*********,,14120
708.,PT Bintang Mas Jaya Pratama,"Jl Raya Perancis No 2 Blok L no 26, , , Kabupaten Tangerang, Banten",Telp.,,22299
709.,PT Bintang Mas Mekatama,"Jalan Gatot Subroto KM. 5,, Keroncong, Jatiuwung, Kota Tangerang, Banten",Telp. (021) 55661045,,
710.,PT BINTANG MASINDO SPRINGS INDUSTRY,"JL. GATOT SUBROTO KM.3 NO.29, UWUNG JAYA, CIBODAS, Kota Tangerang, Banten",Telp. 021-5523708,,29300
711.,PT Bintang Naga,"pondok jagung, kec. serpong utara kota tangerang selatan, pondok jagung timur, serpong utara, Kota Tangerang Selatan, Banten",Telp. 02122219681,,22292
712.,PT Bintang Naga,"KP. PONDOK JAGUNG, RT.001, RW.002, Pondok Jagung Timur, Serpong Utara, Kota Tangerang Selatan, Banten",Telp. 081********,,22299
713.,PT Bintang Nusantara Mandiri,"Kp. Cipari, Ciakar, Panongan, Kabupaten Tangerang, Banten",Telp. 02122520089,,20291
714.,CV Bintang Pasundan,"Pasar Kelapa Kav. Blok F, Bendungan, Cilegon, Kota Cilegon, Banten",Telp. 081*********,,14120
715.,PT Bintang Rajawali Abadi,"JALAN RAYA CURUG KM 1, KADU JAYA, CURUG, Kabupaten Tangerang, Banten",Telp. 0215550454,,22220
716.,PT Bintang Sukses Plastindo,"KO PERGUDANGAN BANDARA MAS A9/5 RT 00 RW 00, SELAPAJANG JAYA, NEGLASARI, Kota Tangerang, Banten",Telp. 081********,,22220
717.,PT Bintang Surya Sejati Sukses,"Jl. Industri Raya III Blok AF No. 3, Kawasan Industri Jatake, Bunder, Cikupa, Kabupaten Tangerang, Banten",Telp. 5909001,,13991
718.,PT Bintang Terang Perkasa,"Jl. Laksana Business Park EB Nomor. 27,28,29, Kalibaru, Pakuhaji, Kabupaten Tangerang, Banten",Telp. 081*********,,13911
719.,PT Bintang Terang Triputra Tex,"Jl.industri Raya 3 blok AA No.2, bunder, cikupa, Kabupaten Tangerang, Banten",Telp. 081*******,,13921
720.,PT Bintang Timur Steel,"Kawasan Industri Millenium Blok D1/E1.JL.Baru Pemda Tigaraksa, Peusar, Panongan, Kabupaten Tangerang, Banten",Telp. 02129017189,,24202
721.,PT Bintanglima Citracemerlang,"Jl Serua Raya No 26 Rt 003 Rw 003 Parung Benying, Kelurahan Serua, Kecamatan Ciputat, Kota Tangerang Selatan, Banten",Telp. 021-74638839,,31001
722.,PT Bintangmas Cahaya Internasional,"Jl. Raya Serang KM 65 No. 17 Blok B, Leuwi Limus, Cikande, Kabupaten Serang, Banten",Telp. 0215822958,,
723.,PT Bio Kusuma,"Pusat Niaga Terpadu Blok A8 / N, O & P, Jl. Daan Mogot Km. 19.6, Poris Jaya, Batuceper, Kota Tangerang, Banten",Telp. 021-54365358,,20232
724.,CV Bio Tech Indonesia,"Taman Poris Gaga Jl. Cempaka 2 Blok C3 No. 8 RT 06/06, Poris Gaga, Batuceper, Kota Tangerang, Banten",Telp. 081*********,,20129
725.,PT Bio Technology Multi System,"Jl. Perancis Gaga Rawa Kompeni No. 78, Benda, Benda, Kota Tangerang, Banten",Telp. 081*********,,
726.,PT Biocon Natural Indonesia,"Gd. 410 Balai Inkubator Teknologi Kawasan Puspitek, Muncul, Setu, Kota Tangerang Selatan, Banten",Telp. 085*********,,21022
727.,PT Bionic Natura,"Jl.  Gatot Subroto Km 8, Kadu Jaya, Curug, Kabupaten Tangerang, Banten",Telp. 02159303333,,10710
728.,PT Bioplagen Indonesia,"Pergudangan Sentra Kosambi Blok B No. 11, Kosambi Timur, Kosambi, Kabupaten Tangerang, Banten",Telp. 021 29024683,,21013
729.,PT Bioplast Unggul,"Jl. Raya Pasar Kemis KM 3,5 No.81 RT 001 RW 001, Gelam Jaya, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. 0215920505,,22220
730.,PT Biotis Agrindo,"Jl Utama Modern Industri Blok F1 dan F2 Kawasan Industri Modern Cikande, Nambo Ilir, Kibin, Kabupaten Serang, Banten",Telp. (0254)8480851,,20212
731.,PT Bious Inovasi Indonesia,"Jalan Veteran, Kp. Cisereh Haur No. 49-A, Cukanggalih, Curug, Kabupaten Tangerang, Banten",Telp. 082***********,,21015
732.,PT Bipa Music Indonesia,"KAWASAN INDUSTRI BLESSINDO CIRARAB PERGUDANGAN 88 NOMOR B.11, JALAN H. TABRI LEGOK, BOJONGKAMAL, LEGOK, Kabupaten Tangerang, Banten",Telp. 081*********,,32202
733.,PT BIPORIN AGUNG,"Desa Cikupa RT 03 RW 01, Cikupa, Cikupa, Kabupaten Tangerang, Banten",Telp. 5960915,,20116
734.,CV Biru Makmur Jaya,"Jl Manis Raya KM. 8,5 No.30 Desa/ Kelurahan Gandasari Kec. Jatiuwung, Kota Tangerang, Provinsi Banten, Gandasari, Jatiuwung, Kota Tangerang, Banten",Telp. 0215858581,,23957
735.,PT Bisa Mandiri Strategi Investasi,"Jl. Raya Serpong, Jl. Utama Komp. Batan Indah Blk. F No.90, Kademangan, Kec. Setu, Kota Tangerang Selatan, Banten, Kademangan, Setu, Kota Tangerang Selatan, Banten",Telp. 02129432095,,71205
736.,CV Bisma Sakti,"Jl. Gatot Subroto Km. 3,5 Pusat Niaga Cibodas Blok B No. 32 RT.001 RW.009, Cibodas, Cibodas, Kota Tangerang, Banten",Telp. 021 55722776,,25119
737.,PT Bital Asia,"JL.RAYA LEGOK KM.7,9 KP.DUKUH RT.02/03, Babakan, Legok, Kabupaten Tangerang, Banten",Telp. 021-54202064,,20221
738.,PT BITUNG GUNASEJAHTERA,"Jl. Syech Nawawi No. 33 RT. 002 RW. 004, Kaduagung Timur, Cibadak, Kabupaten Lebak, Banten",Telp. 0252201227,,22123
739.,PT Bitungjaya Inticemerlang,"Jl.Bitung Raya No.88 Rt.003/001, Bitung Jaya, Cikupa, Kabupaten Tangerang, Banten",Telp. 021-5961080,,20132
740.,PT Bitungjaya Rejeki,"Jl. Raya Serang Km 11 RT 006/003 Kp. Bulakan, Bitung Jaya, Cikupa, Kabupaten Tangerang, Banten",Telp. 021 59404749,,
741.,PT Bitupack,"JL RAYA SERANG KM.16, SUKAMULYA, CIKUPA, Kabupaten Tangerang, Banten",Telp. 59410364,,17022
742.,PT Bizona Prima Perdana,"Jl. Raya Taktakan, Komp. Makmur Jaya, Desa/Kelurahan Drangong, Kec. Taktakan, Kota Serang, Provinsi Banten, Drangong, Taktakan, Kota Serang, Banten",Telp. (+62) 254 7921560,,25920
743.,PR Blacklabel Era Sejahtera,"Jl Kelapa Sawit XIV, Sektor 1 B blok BG13 No.9, Gading Serpong, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",Telp. 081********,,10621
744.,PT Blef Teknologi Indonesia,"Griya idola Industri Park Block L 38, jl. Raya Serang Km., Dukuh, Cikupa, Kabupaten Tangerang, Banten",Telp. 081*********,,
745.,PT Blio Iwasa Indah,"Kp. Bantar Karang RT.00 RW.00, Cihambali, Cibeber, Kabupaten Lebak, Banten",Telp. 085*********,,11051
746.,BUL Blu Bumdesa Raksa Madu Jaya Cikadu,"Kp. Mulyasari RT/RW 002/001, Desa Cikadu, Kecamatan Cibeber, Kabupaten Lebak, Provinsi Banten, Cikadu, Cibeber, Kabupaten Lebak, Banten",Telp. 085*********,,10722
747.,PT Blue By Yoo Indonesia,"Jln Raya Serang km 16.5, Talaga, Cikupa, Kabupaten Tangerang, Banten",Telp. 021-59407166,,14111
748.,PT Blue Garden Recycling,"Jl. Millennium Blok R1 Nomor 03, Kawasan Industri Millennium, Kadu Agung, Tigaraksa, Kabupaten Tangerang, Banten",Telp. 021 - 59986684,,20117
749.,PT Blue Ocean Foam Indonesia,"JL. RAYA IR SUTAMI RT.007/RW00.2, Karang Anyar, Kemiri, Kabupaten Tangerang, Banten",Telp. -,,
750.,PT Bluebel To,"Jl.Raya Serang Km.12 Rt.005 Rw.002, Bitung Jaya, Cikupa, Kabupaten Tangerang, Banten",Telp. 021 5962367,,18111
751.,PT Bo Sung Indonesia,"Jl. Raya Rajeg Desa Sindangsari Kec. Pasar Kemis Kab. Tangerang - Banten, Sindangsari, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. 021 59351001,,17022
752.,PT Boemi Nusantara Kaya Berkah,"JALAN HASYIM ASHARI NOMOR 34 C-D, Poris Plawad Indah, Cipondoh, Kota Tangerang, Banten",Telp. 081*********,,14111
753.,PT Boga Rasa Paradarma,"Jl. Gatot Subroto Km.3,5. Tangerang, Cibodas, Cibodas, Kota Tangerang, Banten",Telp. 021-55798361,,10710
754.,PT Bojong Westplas,"Jalan Sera Kp.CIbadak, Bojong, Cikupa, Kabupaten Tangerang, Banten",Telp. 59402718,,22230
755.,PT Bola Intan Elastic,"Jln Pembangunan II No 56 RT 01/01, Karang Anyar, Neglasari, Kota Tangerang, Banten",Telp. 021 5523745,,13991
756.,PT Bold Technologies Leading Indonesia,"Taman Tekno BSD, blok H9/8, Setu, Setu, Kota Tangerang Selatan, Banten",Telp. (021) 57940873,,26602
757.,PT Bolde Makmur Indonesia,"Komplek Pergudangan Daan Mogot EraPrima No G1, Jl  Daan Mogot KM 21, Poris Gaga, Batuceper, Kota Tangerang, Banten",Telp. 021-29170888,,22292
758.,PT Bolde Makmur Indonesia,"Jl. Pasar Kemis KM 1, RT 001/RW 006, Kelurahan Keroncong, Kecamatan Jatiuwung, Keroncong, Jatiuwung, Kota Tangerang, Banten",Telp. 02129170888,,32509
759.,UD Bong Iko,"JL RAYA PLP CURUG RUKO SENTUL NO 16 B-C, SUKABAKTI, CURUG, Kabupaten Tangerang, Banten",Telp. 081********,,14131
760.,PT Boo Young Indonesia,"Jln. Modern Industri IV no. 6A&6B Kawasan Industri Modern Cikande, Nambo Ilir, Kibin, Kota Serang, Banten",Telp. 0254 400123,,15202
761.,PT Boosan Sarang,"Jl.Raya Serang KM 16,8 RT.006 RW.002, Talaga, Cikupa, Kabupaten Tangerang, Banten",Telp. 0215960002,,15201
762.,PT Borneo Global Minchem,"KP. BUGEL RT 001/001 KAWASAN INDUSTRI MEKAR JAYA JL. HAYAM WURUK NO. 8 PASARKEMIS, Pangadegan, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. 082*********,,
763.,PT Borneo Mandiri Investment,"Jl. Kav DPR Blok A No 200, Kenanga, Cipondoh, Kota Tangerang, Banten",Telp. 021-2902-5862,,24103
764.,PT BORNEO MANDIRI INVESTMENT,"Kavling DPR, Blok A Nomor 209, Kenanga, Cipondoh, Kota Tangerang, Banten",Telp. 021-2902-5862,,28130
765.,PT Boston Furniture Industries,"Jl. Milenium 15 Blok I-2 No.5A, Peusar, Panongan, Kabupaten Tangerang, Banten",Telp. 02129159118,,31001
766.,PT Box Multi Indo,"Jalan Rusa Raya No 9c, Pondok Ranji, Ciputat Timur, Kota Tangerang Selatan, Banten",Telp. 085*********,,
767.,PT Boy Boy Plastindo,"Cikahuripan No. 2 RT/RW 002/009, Mekarsari, Neglasari, Kota Tangerang, Banten",Telp. 0215520745,,38302
768.,PT Bra Indo Aksesoris,"JL ARIAJAYA SANTIKA PASIR NANGKA TIGARAKSA, Pasir Nangka, Tigaraksa, Kabupaten Tangerang, Banten",Telp. 0215991401,,14131
769.,PT Brawijaya Perkasa,"KP. CIKUDA NO.116, DESA/ KELURAHAN CISAUK, KEC. CISAUK, KAB. TANGERANG, BANTEN, Cisauk, Cisauk, Kabupaten Tangerang, Banten",Telp. +62 819-1623-0196,,
770.,PT Breslin Trading Indonesia,"Jl. Raya Kali Baru, Laksana Business Park Blok GA 5-6, Laksana, Pakuhaji, Kabupaten Tangerang, Banten",Telp. 081*********,,15201
771.,PT Bright Mobile Telecommunication,Telp.,,,
772.,PT Bright Mobile Telecommunication,"Jalan Kawasan Industri (Bayur), Periuk Jaya, Periuk, Kota Tangerang, Banten",Telp. 021-29662888,,26320
773.,PT Brillux Indah Chemicals Industry,"JL. RAYA GATOT SUBROTO KM.6, JATAKE, JATIUWUNG, Kota Tangerang, Banten",Telp. 021-5913405,,20221
774.,PT Broco Aerated Concrete Industry,"Jl. Raya Serang KM. 59, Situ Terate, Cikande, Kabupaten Serang, Banten",Telp. 0254-406193,,23953
775.,PT BROCO MOBEL INDUSTRY,"Jl. Siliwangi KM 0.5, Keroncong, Jatiuwung, Kota Tangerang, Banten",Telp. 021 5903117,,
776.,PT BROCO MUTIARA ELECTRICAL INDUSTRY,"JL. SILIWANGI KM 0.5, KERONCONG, JATI UWUNG, Kota Tangerang, Banten",Telp. (021)5903119,,27120
777.,PT Bromo-pharmaceutical Industries,"Jl. Palem Manis Raya, Komplek Pergudangan & Industri ""Sentra Prima Teknopark"" Blok A No. 10, Gandasari, Jatiuwung, Kota Tangerang, Banten",Telp. 02129874343,,21012
778.,PT Bruegmann Asia,"TAMAN TEKNO BSD CITY BLOK C NO.10, SEKTOR XI, Setu, Setu, Kota Tangerang Selatan, Banten",Telp. 021 75876355,,22299
779.,PT Bu Kwang Medical,"KP CANDU ,Jl VIHARA, RT O2 /07, Curug Kulon, Curug, Kabupaten Tangerang, Banten",Telp. 021 59491016,,32502
780.,PT Buana Asia Packindo,"Jl. Karet Jaya 1 No.10, Karet, Sepatan, Kabupaten Tangerang, Banten",Telp. 02159370101,,17022
781.,PT Buana Centra Steel Industry,"Jl. Raya Merak KM. 115, Rawa Arum, Grogol, Kota Cilegon, Banten",Telp. 0254-572111,,
782.,PT Buana Danatini Pratama,"JL. RAYA SERANG KP PETUNG RT. 016 RW. 002, Sentul, Kragilan, Kabupaten Serang, Banten",Telp. 081*********,,10772
783.,PT Buana Kreasi Indonesia,"Jl. Raya Serang Km. 21, Cibadak, Cikupa, Kabupaten Tangerang, Banten",Telp. 021-59406928,,15202
784.,PT Buana Mas Sejati,"Pergudangan Kosambi Megah Blok B20-21, Jalan Raya Perancis, Desa Jati Mulya, Tangerang, Kabupaten Tangerang, Banten",Telp. 02155913311,,32401
785.,PT Buana Mega Kualitasindo,"Jl. RE. Martadinata No. 63 RT/RW 01/05, Cipayung, Ciputat, Kota Tangerang Selatan, Banten",Telp. 081*********,,14131
786.,PT Buana Megah Gemilang,"Jl.KP.Ciangir,RT001/01,Desa Ciangir, Ciangir, Legok, Kabupaten Tangerang, Banten",Telp. (021)54281290,,20222
787.,PT Buana Merdeka Jaya,"JALAN MERDEKA PABUARAN SIBANG NO 185, Pabuaran, Karawaci, Kota Tangerang, Banten",Telp. 5522564,,33121
788.,PT Buana Selaras Globalindo,"Taman Tekno BSD City Sektor XI Blok A-2/56, Setu, Setu, Kota Tangerang Selatan, Banten",Telp. 02175672127,,26399
789.,PT Buana Sinergi Industri,"JALAN. RAYA MEKARSARI, Mekarsari, Rangkasbitung, Kabupaten Lebak, Banten",Telp. 082*********,,
790.,PT Buanatama Indah Gemilang,"KP. KADU RT.001 RW. 001, Bunder, Cikupa, Kabupaten Tangerang, Banten",Telp.,,20221
791.,PT Buanatama Metalindo,"jl. Industri Raya II Blok L, No.1, Pasir Jaya, Jatiuwung, Kota Tangerang, Banten",Telp. 021 29665115,,29300
792.,PT Budi Intisari Gas,"Jl. Daan Mogot KM.18, Porisgaga, Batuceper, Kota Tangerang, Banten",Telp. 021-6197302,,20112
793.,PT Budi Karya Agung,"Komplek Pergudangan Hero, Jl Raya Salembaran Jati No 9 Blok B No 4, Salembaran  Jati, Kosambi, Kabupaten Tangerang, Banten",Telp. 021-29031277,,22291
794.,PT Budi Texindo Prakarsa,"Jl. Pamarayan No. 142, Junti, Jawilan, Kabupaten Serang, Banten",Telp. 021-6349924,,13112
795.,PT Budi Texindo Prakarsa,"Jl. Pamarayan no. 142, Desa Junti, Jawilan, Kabupaten Serang, Banten",Telp. 0254 402222,,13112
796.,PR Budiyanti,"Panorama Serpong Blok A8 No.8 RT 001 RW 006, Bakti Jaya, Setu, Kota Tangerang Selatan, Banten",Telp. 081*********,,
797.,PT Bukit Damai Harmoni,"Jalan Industri VIII No. 17, Pasir Jaya, Jatiuwung, Kota Tangerang, Banten",Telp. 5902132,,16211
798.,PT BUKIT JAYA PERKASA,"Jl. Raya Serang Km.28 Kawasan Surya Balaraja Blok I No. 8 Kp. Pos Sentul RT 010 RW / 004, Sentul Jaya, Balaraja, Kabupaten Tangerang, Banten",Telp. 021-22595313,,25111
799.,PT Bukit Rejeki Lestari,"Kampung Laksana Timur RT.003/001, Laksana, Pakuhaji, Kabupaten Tangerang, Banten",Telp. 081*********,,25952
800.,PT Bukit Sukses Abadi,"KOMPLEK PERGUDANGAN SURYA BALARAJA BLOK E UNIT NO,20,JLN RAYA SERANG KM 28,KAMPUNG POS SENTUL, SENTUL JAYA, BALARAJA, Kabupaten Tangerang, Banten",Telp. 021-22595313,,25111
801.,PT Bukit Surya Mas,"Jalan Raya Cikande Rangkas Bitung KM 8, Kp. Kadeper, Jawilan, Jawilan, Kabupaten Serang, Banten",Telp. 02154313882,,20131
802.,CV Bulan Terang Abadi,": Pakupatan prisma Link. Lebak Gempol, Desa/Kelurahan Panancangan, Kec. Cipocok Jaya, Kota Serang, Provinsi Banten, Panancangan, Cipocok Jaya, Kota Serang, Banten",Telp. 081**********,,14111
803.,PT Bumi Bangun Mulia Pratama,"Jl. Pemda Tigaraksa No.1 Sukamulya, Cikupa, Kabupaten Tangerang,, Sukamulya, Cikupa, Kabupaten Tangerang, Banten",Telp. +62 821-1135-3151,,25112
804.,PT Bumi Duta Persada,"Jl. Raya Korelet, Ranca Kalapa, Panongan, Kabupaten Tangerang, Banten",Telp. 021 22200502,,23957
805.,PT Bumi Indah Global,"Jl. Raya Cikande Rangkasbitung KM 4.5, Kareo, Jawilan, Kabupaten Serang, Banten",Telp. 0254 406223-27,,31009
806.,PT BUMI INDOCITRA SINERGI,"Jl. Raya Perancis Pergudangan Kosambi Permai Blok E37, Jati Mulya, Kosambi, Kota Tangerang, Banten",Telp. 0214897271,,28230
807.,PT Bumi Kencana Abadi,"Taman Tekno BSD Sektor XI Blok F-2/8, Setu, Setu, Kota Tangerang Selatan, Banten",Telp. 021-7563366,,31004
808.,PT Bumi Lestari Karya Perkasa,"Jl. Modern Industri XVI Blok AG No 7B Kawasan Industri Modern Cikande, Nambo Udik, Cikande, Kota Serang, Banten",Telp. 021-26051725,,25119
809.,PT Bumi Mandiri Saktitama,"Graha Teluk Jakarta Blok SK No. 35, Desa/Kelurahan Kutabumi, Kec. Pasar Kemis, Kab. Tangerang, Provinsi Banten, Kuta Jaya, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. 021-38962028,,20118
810.,PT Bumi Mas Elektrindo,"PERGUDANGAN SENTRA KOSAMBI BLOK I-!, NO. 5, Kosambi Timur, Kosambi, Kabupaten Tangerang, Banten",Telp. 021-56982772,,22230
811.,PT Bumi Media Kreasindo,"Jl Kelapa lilin II DC.14 no.11, curug sangereng, Kelapa Dua, Kabupaten Tangerang, Banten",Telp. 02154205918,,32909
812.,PT Bumi Mineral Cemerlang,"Jl Pajajaran Raya No. 168, Gandasari, Jati Uwung, Kota Tangerang, Banten",Telp. 02155658683,,
813.,PT Bumi Mitra Sejahtera,"JL. RAYA PERANCIS NO.2 BLOK CK 17, KOMP. PERGUDANGAN PANTAI INDAH DADAP, Dadap, Kosambi, Kabupaten Tangerang, Banten",Telp. 021-55961680,,27530
814.,CV Bumi Moregun,"Jl. Ayip Usman no 88 G, Unyur, Serang, Kota Serang, Banten",Telp. 081*********,,32904
815.,PT Bumi Pangan Utama,"Jl. Millennium Raya Blok L1 No. 1, Kawasan Industri Millennium, Peusar, Panongan, Kabupaten Tangerang, Banten",Telp. 021-51401122,,10293
816.,PT Bumi Praja Aditama,"Jl. Albasia Utara Blok K1 - 52, Sukadami, Cikarang Selatan, Kabupaten Bekasi, Jawa Barat",Telp. 081*********,,25111
817.,PT Bumi Tangerang Gas Industry,"JL. MODERN INDUSTRY IV KAV 15, NAMBO ILIR, KIBIN, Kabupaten Serang, Banten",Telp. 0254400468,,
818.,PT Bumimulia Indah Lestari,"Komplek Peni, Jl. Raya Merak KM.116, Desa Gerem, Desa Gerem, Grogol, Kota Cilegon, Banten",Telp. (0254) 571342,,22220
819.,PT Bumisedimen Trashindotama,"JL. PELINDO - BOJONEGARA, TANJUNG AURAN, KP. CANDI, Pulo Ampel, Pulo Ampel, Kabupaten Serang, Banten",Telp. 02155691110,,23963
820.,PT Bumitangerang Coklat Utama,"Jl. Dipati Unus No.27 RT.005/001, Cibodas, Cibodas, Kota Tangerang, Banten",Telp. 021-55792128,,10732
821.,PT BUMITANGERANG MESINDOTAMA,"Jl. Dipati Unus No. 30, Cibodas, Cibodas, Kota Tangerang, Banten",Telp. +621 5585870,,10731
822.,PT Bungasari Flour Mills Indonesia,"Jl. Raya Anyer Lingk. Komp. Sinyar RT 014/RW 006 Tegal Ratu Ciwandan District, Tegal Ratu, Ciwandan, Kota Cilegon, Banten",Telp. + 62 254 669 222,,10616
823.,PT Buntara Megah Inti,"Jl. Raya Serang Km. 33,5, Sumur Bandung, Jayanti, Kabupaten Tangerang, Banten",Telp. 021 59450872,,19291
